model,accuracy_pct,mae_mev_atom,rmse_mev_atom,f1,r2,precision,recall,daf,kappa_srme,geo_opt_rmsd,symmetry_match,architecture,params,openness,license,train_task,targets,training_sets,calc_method,materials_tested,date,doi,repo,source
EquFlashV2,97.8,18.0,66.0,0.929,0.873,0.928,0.93,6.069,0.0941,0.0577,0.8202,gnn,44890492,OSOD,MIT,S2EFS,EFS_G,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; DFT single-point + relaxation: energy, forces, stress","WBM (unique prototypes), inorganic crystals vs MP convex hull",2026-06-11,,https://github.com/SamsungDS/GGNN,Matbench Discovery
EquiformerV3+DeNS-OAM,97.8,18.0,67.0,0.931,0.868,0.928,0.933,6.074,0.1178,0.0595,0.3711,transformer,30333409,OSOD,MIT,S2EFS,EFS_G,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; DFT single-point + relaxation: energy, forces, stress","WBM (unique prototypes), inorganic crystals vs MP convex hull",2026-04-07,10.48550/arXiv.2604.09130,https://github.com/atomicarchitects/equiformer_v3,Matbench Discovery
TACE-OAM-RRA-Preview,97.8,18.0,68.0,0.928,0.866,0.928,0.929,6.07,0.1009,0.0576,0.8185,gnn,213690158,OSOD,MIT,S2EFS,EFS_G,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; DFT single-point + relaxation: energy, forces, stress","WBM (unique prototypes), inorganic crystals vs MP convex hull",2025-09-18,10.57967/hf/7458,https://github.com/xvzemin/tace,Matbench Discovery
TECE-OAM-RRA-1.0,97.8,18.0,66.0,0.929,0.871,0.928,0.93,6.073,0.0927,0.0575,0.8183,gnn,221853358,OSOD,MIT,S2EFS,EFS_G,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; DFT single-point + relaxation: energy, forces, stress","WBM (unique prototypes), inorganic crystals vs MP convex hull",2025-09-18,10.57967/hf/7458,https://github.com/xvzemin/tace,Matbench Discovery
eSEN-30M-OAM,97.7,18.0,67.0,0.925,0.866,0.928,0.923,6.069,0.1704,0.0608,0.7103,gnn,30161153,OSOD,MIT,S2EFS,EFS_G,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; DFT single-point + relaxation: energy, forces, stress","WBM (unique prototypes), inorganic crystals vs MP convex hull",2025-03-17,10.48550/arXiv.2502.12147,https://github.com/FAIR-Chem/fairchem,Matbench Discovery
GRACE-3L-OAM-L,97.7,18.0,65.0,0.925,0.875,0.923,0.926,6.041,0.1211,0.0575,0.824,gnn,42112223,OSOD,ASL,S2EF,EFS_G,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; S2EF","WBM (unique prototypes), inorganic crystals vs MP convex hull",2026-07-02,10.1038/s41524-026-01979-1,https://github.com/ICAMS/grace-tensorpotential,Matbench Discovery
PET-OAM-XL,97.7,19.0,68.0,0.924,0.864,0.929,0.92,6.075,0.1192,0.0596,0.807,transformer,730000000,OSOD,BSD-3-Clause,S2EFS,EFS_G,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; DFT single-point + relaxation: energy, forces, stress","WBM (unique prototypes), inorganic crystals vs MP convex hull",2026-01-10,10.1038/s41467-025-65662-7,https://github.com/lab-cosmo/upet,Matbench Discovery
MatRIS-10M-OAM,97.6,19.0,66.0,0.921,0.871,0.923,0.918,6.039,0.2183,0.0601,0.8153,gnn,10443505,OSOD,BSD-3-Clause,S2EFSM,EFS_GM,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; DFT energy, forces, stress, magmoms","WBM (unique prototypes), inorganic crystals vs MP convex hull",2025-10-29,10.48550/arXiv.2603.02002,https://github.com/HPC-AI-Team/MatRIS,Matbench Discovery
EquFlash,97.5,19.0,66.0,0.919,0.871,0.915,0.922,5.983,0.1583,0.0602,0.7019,gnn,28741188,CSOD,MIT,S2EFS,EFS_G,"MPtrj, OMat24, sAlex","DFT PBE(+U), Materials Project settings; DFT single-point + relaxation: energy, forces, stress","WBM (unique prototypes), inorganic crystals vs MP convex hull",2025-06-23,,https://github.com/SamsungDS/GGNN,Matbench Discovery
eqV2 M,97.5,20.0,72.0,0.917,0.848,0.924,0.91,6.047,1.7707,0.0691,0.1422,transformer,86589068,OSOD,MIT,S2EFS,EFS_D,"MPtrj, OMat24","DFT PBE(+U), Materials Project settings; DFT single-point + relaxation: energy, forces, stress","WBM (unique prototypes), inorganic crystals vs MP convex hull",2024-10-18,10.48550/arXiv.2410.12771,https://github.com/FAIR-Chem/fairchem,Matbench Discovery
